university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Massachusetts Institute of Technology (MIT) ,2022,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,"3,730",M,"3,065"
University of Oxford,2022,2,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
Stanford University,2022,3,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,"3,879",L,"4,725"
University of Cambridge,2022,3,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,"7,925",L,"5,800"
Harvard University,2022,5,98,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,"5,877",L,"4,646"
California Institute of Technology (Caltech),2022,6,97.4,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
Imperial College London,2022,7,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5,"11,143",L,"8,000"
ETH Zurich - Swiss Federal Institute of Technology,2022,8,95.4,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,ZÃ¼rich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7,"7,733",L,"2,719"
UCL,2022,8,95.4,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5,"21,824",XL,"7,195"
University of Chicago,2022,10,94.5,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6,"4,696",L,"2,703"
National University of Singapore (NUS),2022,11,93.9,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7,"7,551",XL,"4,288"
"Nanyang Technological University, Singapore (NTU)",2022,12,90.8,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6,"6,091",L,"3,812"
University of Pennsylvania,2022,13,90.7,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4,"4,636",L,"5,154"
EPFL,2022,14,90.2,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6,"6,426",M,"1,767"
Yale University,2022,14,90.2,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2,"2,537",M,"5,391"
The University of Edinburgh,2022,16,89.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7,"14,637",XL,"4,832"
Tsinghua University,2022,17,89,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,Public,Very High,6,"5,420",XL,"6,174"
Peking University,2022,18,88.8,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,Public,Very High,6,"5,436",XL,"5,302"
Columbia University,2022,19,88.7,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/211112094012am25532422IKNS031-Banner-Ads-Topuniversities.com-200x200-v02-48x48.jpg,Private,Very High,4,"11,252",L,"7,087"
Princeton University,2022,20,88.6,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,Private,Very High,8,"1,912",M,"1,050"
Cornell University,2022,21,88.3,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8,"5,675",L,"2,843"
The University of Hong Kong,2022,22,86.3,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7,"8,311",L,"2,944"
The University of Tokyo,2022,23,86.2,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,Public,Very High,6,"3,983",L,"4,473"
University of Michigan-Ann Arbor,2022,23,86.2,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,Public,Very High,6,"7,341",XL,"7,132"
Johns Hopkins University,2022,25,85.9,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3,"5,070",L,"4,855"
University of Toronto,2022,26,85.3,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,Public,Very high,8,"27,536",XL,"9,881"
McGill University,2022,27,84,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7,"10,827",L,"3,876"
The Australian National University,2022,27,84,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/ANU-crest-48x48.jpg,Public,Very High,9,"6,496",L,"1,763"
The University of Manchester,2022,27,84,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8,"16,079",XL,"4,889"
Northwestern University,2022,30,82.8,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5,"3,846",L,"3,652"
Fudan University,2022,31,82.6,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,Public,Very High,6,"5,322",L,"4,526"
"University of California, Berkeley (UCB)",2022,32,82.5,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11,"9,428",XL,"3,701"
Kyoto University,2022,33,82.3,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6,"2,863",L,"3,911"
The Hong Kong University of Science and Technology,2022,34,82.2,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Public,Very High,8,"3,033",M,697
King's College London,2022,35,82,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7,"15,075",L,"4,216"
Seoul National University,2022,36,81.7,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7,"1,914",L,"3,859"
The University of Melbourne,2022,37,81.4,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Public,Very high,19,"21,406",S,"4,835"
The University of Sydney,2022,38,80.4,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Public,Very High,13,"25,940",XL,"3,571"
The Chinese University of Hong Kong (CUHK),2022,39,80.3,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Public,Very High,8,"6,062",L,"2,201"
"University of California, Los Angeles (UCLA)",2022,40,79.7,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10,"6,140",XL,"4,487"
KAIST - Korea Advanced Institute of Science & Technology,2022,41,79.1,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,Public,Very High,8,869,M,"1,307"
New York University (NYU),2022,42,78.9,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,Private,Very High,6,"16,218",XL,"7,874"
The University of New South Wales (UNSW Sydney),2022,43,77.7,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Public,Very High,14,"21,603",XL,"3,219"
UniversitÃ© PSL,2022,44,77.6,https://www.topuniversities.com/universities/universite-psl,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,Public,Very High,5,"4,922",L,"3,914"
Zhejiang University,2022,45,77.4,https://www.topuniversities.com/universities/zhejiang-university,China (Mainland),Hangzhou,Asia,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg,Public,Very High,7,"9,177",XL,"6,065"
University of British Columbia,2022,46,77.1,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,Public,Very High,9,"15,399",XL,"6,201"
The University of Queensland,2022,47,76.6,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane City,Oceania,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-48x48.jpg,Public,Very High,12,"22,241",XL,"3,513"
"University of California, San Diego (UCSD)",2022,48,76.1,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,Public,Very High,8,"8,567",XL,"4,545"
Institut Polytechnique de Paris,2022,49,75.9,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,France,Palaiseau Cedex,Europe,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,Public,Very High,6,"2,413",M,"1,057"
The London School of Economics and Political Science (LSE),2022,49,75.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10,"8,274",M,"1,172"
Shanghai Jiao Tong University,2022,50,75.6,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,Public,Very High,9,"6,371",XL,"4,386"
Technical University of Munich,2022,50,75.6,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Public,Very High,5,"11,447",XL,"6,663"
Duke University,2022,52,75.2,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3,"3,445",L,"5,673"
Carnegie Mellon University,2022,53,74.6,https://www.topuniversities.com/universities/carnegie-mellon-university,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,Private,Very High,9,"5,739",L,"1,534"
City University of Hong Kong,2022,53,74.6,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,Public,Very High,6,"5,331",M,"1,483"
University of Amsterdam,2022,55,73.8,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11,"7,969",XL,"6,000"
Tokyo Institute of Technology (Tokyo Tech),2022,56,73.5,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,Public,Very High,7,"1,622",M,"1,492"
Delft University of Technology,2022,57,73.1,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,Public,Very High,10,"6,104",L,"2,041"
Monash University,2022,58,72.2,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,Public,Very High,15,"31,049",XL,"3,852"
Brown University,2022,60,71.3,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,Private,Very High,7,"2,002",M,"1,389"
The University of Warwick,2022,61,71.2,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Public,Very High,9,"10,459",L,"2,634"
University of Bristol,2022,62,71,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8,"7,483",L,"20,311"
Ruprecht-Karls-UniversitÃ¤t Heidelberg,2022,63,70.8,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Germany,Heidelberg,Europe,https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg,Public,Very High,5,"4,048",L,"4,100"
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,2022,64,70.1,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,Public,Very High,9,"5,958",XL,"3,914"
Universiti Malaya (UM),2022,65,69.8,https://www.topuniversities.com/universities/universiti-malaya-um,Malaysia,Kuala Lumpur,Asia,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg,Public,Very High,8,"3,340",L,"2,386"
The Hong Kong Polytechnic University,2022,66,69.1,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,Public,Very High,7,"5,774",L,"2,822"
University of Texas at Austin,2022,67,68.4,https://www.topuniversities.com/universities/university-texas-austin,United States,Austin,North America,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,Public,Very High,17,"4,953",XL,"2,887"
National Taiwan University (NTU),2022,68,68.2,https://www.topuniversities.com/universities/national-taiwan-university-ntu,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,Public,Very High,10,"5,058",L,"2,939"
Universidad de Buenos Aires (UBA),2022,69,67.9,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg,Public,Very High,7,"29,516",XL,"16,103"
KU Leuven,2022,70,67.2,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,Public,Very High,18,"8,485",XL,"2,677"
University of Zurich,2022,70,67.2,https://www.topuniversities.com/universities/university-zurich,Switzerland,ZÃ¼rich,Europe,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,Public,Very High,6,"5,044",L,"3,761"
Sorbonne University,2022,72,67.1,https://www.topuniversities.com/universities/sorbonne-university,France,,Europe,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg,Public,Very High,9,"8,782",XL,"4,680"
University of Glasgow,2022,73,66.8,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,Public,Very High,9,"11,065",L,"3,314"
Korea University,2022,74,66.3,https://www.topuniversities.com/universities/korea-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,Private,Very High,6,"3,325",L,"4,026"
Osaka University,2022,75,66.2,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,Public,Very High,7,"2,268",L,"3,127"
University of Wisconsin-Madison,2022,75,66.2,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,Public,Very High,8,"5,737",XL,"5,166"
University of Southampton,2022,77,65.7,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,Public,Very High,9,"8,417",L,"2,468"
Lomonosov Moscow State University,2022,78,65.6,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg,Public,Very High,5,"5,476",XL,"6,575"
University of Copenhagen,2022,79,65.5,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,Public,Very High,4,"4,135",XL,"7,293"
Yonsei University,2022,79,65.5,https://www.topuniversities.com/universities/yonsei-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg,Private,Very High,6,"4,274",L,"3,605"
Pohang University of Science And Technology (POSTECH),2022,81,65.4,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,South Korea,Pohang ,Asia,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,Private,Very High,4,87,S,743
Durham University,2022,82,65.2,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,Public,Very High,11,"6,174",L,"1,775"
Tohoku University,2022,82,65.2,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,Asia,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,Public,Very High,5,"1,872",L,"3,323"
University of Illinois at Urbana-Champaign,2022,82,65.2,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg,Public,Very High,17,"9,987",XL,"2,748"
The University of Auckland,2022,85,65,https://www.topuniversities.com/universities/university-auckland,New Zealand,Auckland,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg,Public,Very High,12,"9,924",L,"2,316"
University of Washington,2022,85,65,https://www.topuniversities.com/universities/university-washington,United States,Seattle,North America,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,Public,Very High,15,"7,362",XL,"2,796"
UniversitÃ© Paris-Saclay,2022,86,64.9,https://www.topuniversities.com/universities/universite-paris-saclay,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg,Public,Very High,5,"7,649",XL,"8,010"
Lund University,2022,87,63.8,https://www.topuniversities.com/universities/lund-university,Sweden,Lund,Europe,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,Public,Very High,9,"6,682",L,"3,040"
Georgia Institute of Technology,2022,88,63.5,https://www.topuniversities.com/universities/georgia-institute-technology,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,Public,Very High,19,"5,675",L,"1,267"
KTH Royal Institute of Technology ,2022,89,63.2,https://www.topuniversities.com/universities/kth-royal-institute-technology,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg,Public,Very High,8,"3,057",L,"3,600"
University of Birmingham,2022,90,62.9,https://www.topuniversities.com/universities/university-birmingham,United Kingdom,Birmingham,Europe,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg,Public,Very High,9,"10,457",XL,"3,586"
University of St Andrews,2022,91,62.8,https://www.topuniversities.com/universities/university-st-andrews,United Kingdom,St. Andrews,Europe,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg,Public,Very High,8,"4,377",M,"1,208"
University of Leeds,2022,92,62.6,https://www.topuniversities.com/universities/university-leeds,United Kingdom,Leeds,Europe,https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg,Public,Very High,10,"11,584",XL,"3,593"
The University of Western Australia,2022,93,62.5,https://www.topuniversities.com/universities/university-western-australia,Australia,Perth,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg,Public,Very High,12,"9,017",L,"1,539"
Rice University,2022,94,62.3,https://www.topuniversities.com/universities/rice-university,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg,Private,Very High,7,"2,278",M,996
The University of Sheffield,2022,95,61.6,https://www.topuniversities.com/universities/university-sheffield,United Kingdom,Sheffield,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg,Public,Very High,8,"11,090",L,"3,463"
Pennsylvania State University,2022,96,61.5,https://www.topuniversities.com/universities/pennsylvania-state-university,United States,University Park,North America,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,Public,Very High,11,"6,943",XL,"4,207"
Sungkyunkwan University (SKKU),2022,97,60.5,https://www.topuniversities.com/universities/sungkyunkwan-universityskku,South Korea,Suwon,Asia,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,Private,Very High,7,"3,821",L,"3,313"
University of Science and Technology of China,2022,98,60.1,https://www.topuniversities.com/universities/university-science-technology-china,China (Mainland),Hefei,Asia,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg,Public,Very High,7,"1,019",L,"2,708"
Technical University of Denmark,2022,99,59.9,https://www.topuniversities.com/universities/technical-university-denmark,Denmark,Kongens Lyngby,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg,Public,Very High,4,"2,495",M,"2,219"
"University of North Carolina, Chapel Hill",2022,100,59.6,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,United States,Chapel Hill,North America,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg,Public,Very High,7,"2,749",XL,"4,646"
